,income,credit_score,loan_amount,years_employed,points,loan_approved
0,113810,389,39698,27,50.0,False
1,44592,729,15446,28,55.0,False
2,33278,584,11189,13,45.0,False
3,127196,344,48823,29,50.0,False
4,66048,496,47174,4,25.0,False
5,62098,689,19217,29,65.0,True
6,59256,373,40920,40,35.0,False
7,48289,524,45866,20,25.0,False
8,126530,367,14826,36,55.0,False
9,43434,446,18359,8,20.0,False
10,118696,670,15373,8,75.0,True
11,127080,365,26216,24,55.0,False
12,146939,573,43006,21,50.0,False
13,101482,819,7973,40,100.0,True
14,41395,843,1037,38,80.0,True
15,107397,380,6613,31,60.0,True
16,85302,469,18370,33,50.0,False
17,34165,682,29711,33,50.0,False
18,33905,525,1471,4,30.0,False
19,42280,543,19250,31,25.0,False
20,58657,716,13478,6,65.0,True
21,60495,400,4972,25,50.0,False
22,96237,443,28648,11,45.0,False
23,108907,400,4315,34,60.0,True
24,33478,792,15008,25,60.0,True
25,103563,592,28722,35,65.0,True
26,56062,362,21552,3,30.0,False
27,123850,382,13178,4,45.0,False
28,115181,383,28474,37,55.0,False
29,121924,434,45019,19,50.0,False
30,101426,402,5801,34,60.0,True
31,84987,748,36600,19,75.0,True
32,58893,406,9800,16,45.0,False
33,88878,651,14342,40,65.0,True
34,107236,345,1232,21,60.0,True
35,66463,309,8331,4,35.0,False
36,136093,451,29166,8,50.0,False
37,143940,405,24178,35,55.0,False
38,30851,481,28020,1,10.0,False
39,129458,573,11433,6,55.0,False
40,135620,658,21000,14,70.0,True
41,50926,659,43040,32,50.0,False
42,121506,482,39049,16,50.0,False
43,85392,418,26244,36,45.0,False
44,74597,638,41839,20,50.0,False
45,66421,712,46692,18,60.0,True
46,50379,608,27612,35,50.0,False
47,58221,518,34500,30,35.0,False
48,130072,395,16392,19,55.0,False
49,74118,374,30846,26,35.0,False
50,43396,451,43995,0,10.0,False
51,42156,775,4291,35,70.0,True
52,79797,624,30004,39,60.0,True
53,42676,760,17986,15,60.0,True
54,77052,750,6077,18,90.0,True
55,141082,456,47295,13,50.0,False
56,75082,698,39278,1,50.0,False
57,109131,729,36272,34,75.0,True
58,64671,698,23028,25,65.0,True
59,135791,385,43123,27,50.0,False
60,35695,634,23118,24,40.0,False
61,125647,353,23935,14,55.0,False
62,90217,456,16633,8,45.0,False
63,100284,471,40707,38,45.0,False
64,46361,326,21444,36,25.0,False
65,79615,548,7678,19,55.0,False
66,40328,370,34158,21,25.0,False
67,102357,456,29540,11,50.0,False
68,68427,574,22122,15,40.0,False
69,138711,688,23046,1,65.0,True
70,112397,310,34857,12,50.0,False
71,111070,802,30371,1,75.0,True
72,146057,784,37272,33,85.0,True
73,142945,613,17475,14,70.0,True
74,77400,795,19120,37,85.0,True
75,105674,669,12759,19,70.0,True
76,55203,802,7723,0,70.0,True
77,122349,789,8476,4,85.0,True
78,39116,611,6582,15,50.0,False
79,36006,761,30014,19,60.0,True
80,116673,512,41993,13,50.0,False
81,59871,781,20087,2,65.0,True
82,131327,570,41963,37,50.0,False
83,67930,572,10321,4,35.0,False
84,40458,611,46857,25,40.0,False
85,142108,630,40564,16,65.0,True
86,60512,341,12481,30,45.0,False
87,143571,393,31802,22,55.0,False
88,43238,807,19888,25,65.0,True
89,79823,713,34724,0,50.0,False
90,66434,810,41986,28,75.0,True
91,89429,424,2891,40,55.0,False
92,113320,416,31241,7,45.0,False
93,139328,725,32621,30,80.0,True
94,77819,724,23274,32,70.0,True
95,51319,795,23618,21,70.0,True
96,78520,692,16306,26,75.0,True
97,76566,807,3426,8,90.0,True
